alert_id,entity_id,asset_id,timestamp,severity,category,source,confidence,status,description
E002-A0040,E002,E002-AS018,2026-08-20 16:30:00,HIGH,MALWARE,IAM,0.82,CLOSED,Suspicious login pattern detected
E002-A0041,E002,E002-AS027,2026-08-18 11:30:06,LOW,RANSOMWARE,SIEM,0.49,CLOSED,Ransomware-like file and process activity detected
E002-A0042,E002,E002-AS024,2026-08-18 11:39:30,CRITICAL,PHISHING,EMAIL_SECURITY,0.97,CLOSED,Suspicious phishing-related activity identified
E002-A0043,E002,E002-AS020,2026-08-18 12:06:33,HIGH,DATA_EXFILTRATION,IDS,0.73,CLOSED,Potential outbound data exfiltration activity detected
E002-A0044,E002,E002-AS008,2026-08-18 13:10:21,HIGH,PHISHING,EMAIL_SECURITY,0.78,CLOSED,Suspicious phishing-related activity identified
E002-A0045,E002,E002-AS003,2026-08-18 13:14:20,CRITICAL,BRUTE_FORCE,IAM,0.93,CLOSED,Repeated authentication failures exceeded baseline
E002-A0046,E002,E002-AS001,2026-08-18 13:56:47,HIGH,BRUTE_FORCE,SIEM,0.68,CLOSED,Repeated authentication failures exceeded baseline
E002-A0047,E002,E002-AS001,2026-08-18 14:05:56,CRITICAL,PRIVILEGE_ESCALATION,IAM,0.87,CLOSED,Unexpected privilege escalation activity observed
E002-A0048,E002,E002-AS032,2026-08-18 14:27:45,MEDIUM,SUSPICIOUS_LOGIN,IAM,0.75,CLOSED,Suspicious login pattern detected
E002-A0049,E002,E002-AS014,2026-08-18 15:03:55,LOW,SUSPICIOUS_LOGIN,IAM,0.49,CLOSED,Suspicious login pattern detected
E002-A0050,E002,E002-AS018,2026-08-18 15:07:26,HIGH,SUSPICIOUS_LOGIN,IAM,0.74,CLOSED,Suspicious login pattern detected
E002-A0051,E002,E002-AS030,2026-08-18 16:06:24,MEDIUM,PHISHING,EMAIL_SECURITY,0.70,CLOSED,Suspicious phishing-related activity identified
E002-A0052,E002,E002-AS014,2026-08-18 16:48:28,MEDIUM,SUSPICIOUS_LOGIN,IAM,0.71,CLOSED,Suspicious login pattern detected
E002-A0053,E002,E002-AS025,2026-08-18 17:20:47,HIGH,SUSPICIOUS_LOGIN,IAM,0.91,CLOSED,Suspicious login pattern detected
E002-A0054,E002,E002-AS003,2026-08-18 17:21:16,MEDIUM,RANSOMWARE,SIEM,0.67,CLOSED,Ransomware-like file and process activity detected
E002-A0055,E002,E002-AS001,2026-08-18 18:09:20,CRITICAL,PHISHING,EMAIL_SECURITY,0.89,CLOSED,Suspicious phishing-related activity identified
E002-A0056,E002,E002-AS025,2026-08-18 18:22:14,HIGH,PRIVILEGE_ESCALATION,IAM,0.70,CLOSED,Unexpected privilege escalation activity observed
E002-A0057,E002,E002-AS020,2026-08-18 18:27:10,HIGH,BRUTE_FORCE,SIEM,0.88,CLOSED,Repeated authentication failures exceeded baseline
E002-A0058,E002,E002-AS013,2026-08-20 11:00:00,HIGH,SUSPICIOUS_LOGIN,IAM,0.88,CLOSED,Repeated suspicious privileged login pattern detected
E002-A0059,E002,E002-AS008,2026-08-18 19:28:54,HIGH,MALWARE,EDR,0.77,CLOSED,Malware indicators detected on monitored asset
E002-A0060,E002,E002-AS002,2026-08-18 20:54:28,HIGH,PHISHING,EMAIL_SECURITY,0.87,CLOSED,Suspicious phishing-related activity identified
E002-A0061,E002,E002-AS032,2026-08-18 20:55:41,MEDIUM,BRUTE_FORCE,SIEM,0.62,CLOSED,Repeated authentication failures exceeded baseline
E002-A0062,E002,E002-AS003,2026-08-18 21:05:45,LOW,BRUTE_FORCE,SIEM,0.43,CLOSED,Repeated authentication failures exceeded baseline
E002-A0063,E002,E002-AS006,2026-08-18 22:15:48,HIGH,SUSPICIOUS_LOGIN,SIEM,0.85,CLOSED,Suspicious login pattern detected
E002-A0064,E002,E002-AS022,2026-08-18 23:29:06,LOW,NETWORK_ANOMALY,FIREWALL,0.64,CLOSED,Abnormal network traffic pattern detected
E002-A0065,E002,E002-AS020,2026-08-18 23:50:58,HIGH,PHISHING,EMAIL_SECURITY,0.88,CLOSED,Suspicious phishing-related activity identified
E002-A0066,E002,E002-AS019,2026-08-18 23:55:41,LOW,SUSPICIOUS_LOGIN,IAM,0.38,CLOSED,Suspicious login pattern detected
E002-A0067,E002,E002-AS002,2026-08-19 00:36:25,MEDIUM,PHISHING,EMAIL_SECURITY,0.70,CLOSED,Suspicious phishing-related activity identified
E002-A0068,E002,E002-AS008,2026-08-19 00:57:56,HIGH,MALWARE,EDR,0.80,CLOSED,Malware indicators detected on monitored asset
E002-A0069,E002,E002-AS009,2026-08-19 01:01:03,CRITICAL,PHISHING,EMAIL_SECURITY,0.82,CLOSED,Suspicious phishing-related activity identified
E002-A0070,E002,E002-AS025,2026-08-19 01:10:09,MEDIUM,DATA_EXFILTRATION,IDS,0.71,CLOSED,Potential outbound data exfiltration activity detected
E002-A0071,E002,E002-AS012,2026-08-19 01:16:42,LOW,PHISHING,EMAIL_SECURITY,0.61,CLOSED,Suspicious phishing-related activity identified
E002-A0072,E002,E002-AS022,2026-08-19 01:17:20,LOW,SUSPICIOUS_LOGIN,IAM,0.54,CLOSED,Suspicious login pattern detected
E002-A0073,E002,E002-AS019,2026-08-19 01:17:32,CRITICAL,SUSPICIOUS_LOGIN,SIEM,0.86,CLOSED,Suspicious login pattern detected
E002-A0074,E002,E002-AS004,2026-08-19 01:41:56,HIGH,NETWORK_ANOMALY,IDS,0.84,CLOSED,Abnormal network traffic pattern detected
E002-A0075,E002,E002-AS013,2026-08-20 14:00:00,HIGH,SUSPICIOUS_LOGIN,IAM,0.90,CLOSED,Repeated suspicious privileged login pattern detected
E002-A0076,E002,E002-AS029,2026-08-19 01:54:48,MEDIUM,BRUTE_FORCE,SIEM,0.61,CLOSED,Repeated authentication failures exceeded baseline
E002-A0077,E002,E002-AS008,2026-08-19 02:50:34,CRITICAL,MALWARE,SIEM,0.97,CLOSED,Malware indicators detected on monitored asset
E002-A0078,E002,E002-AS014,2026-08-19 03:09:36,MEDIUM,NETWORK_ANOMALY,SIEM,0.74,CLOSED,Abnormal network traffic pattern detected
E002-A0079,E002,E002-AS020,2026-08-19 03:14:28,MEDIUM,MALWARE,EDR,0.78,CLOSED,Malware indicators detected on monitored asset
E002-A0080,E002,E002-AS016,2026-08-19 03:20:49,MEDIUM,DATA_EXFILTRATION,EDR,0.82,CLOSED,Potential outbound data exfiltration activity detected
E002-A0081,E002,E002-AS003,2026-08-19 03:33:43,HIGH,NETWORK_ANOMALY,SIEM,0.91,CLOSED,Abnormal network traffic pattern detected
E002-A0082,E002,E002-AS011,2026-08-19 03:36:51,MEDIUM,MALWARE,EDR,0.67,CLOSED,Malware indicators detected on monitored asset
E002-A0083,E002,E002-AS027,2026-08-19 04:08:12,MEDIUM,RANSOMWARE,EDR,0.58,CLOSED,Ransomware-like file and process activity detected
E002-A0084,E002,E002-AS017,2026-08-19 04:13:08,HIGH,BRUTE_FORCE,SIEM,0.84,CLOSED,Repeated authentication failures exceeded baseline
E002-A0085,E002,E002-AS002,2026-08-19 04:21:31,HIGH,SUSPICIOUS_LOGIN,IAM,0.84,CLOSED,Suspicious login pattern detected
E002-A0086,E002,E002-AS004,2026-08-19 04:48:20,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.56,CLOSED,Abnormal network traffic pattern detected
E002-A0087,E002,E002-AS007,2026-08-19 04:59:38,MEDIUM,PHISHING,EMAIL_SECURITY,0.66,CLOSED,Suspicious phishing-related activity identified
E002-A0088,E002,E002-AS025,2026-08-19 05:04:08,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.65,CLOSED,Abnormal network traffic pattern detected
E002-A0089,E002,E002-AS016,2026-08-19 05:06:31,CRITICAL,NETWORK_ANOMALY,SIEM,0.97,CLOSED,Abnormal network traffic pattern detected
E002-A0090,E002,E002-AS004,2026-08-19 06:08:40,HIGH,SUSPICIOUS_LOGIN,IAM,0.70,CLOSED,Suspicious login pattern detected
E002-A0091,E002,E002-AS017,2026-08-19 06:20:18,HIGH,RANSOMWARE,SIEM,0.86,CLOSED,Ransomware-like file and process activity detected
E002-A0092,E002,E002-AS023,2026-08-19 06:26:36,MEDIUM,RANSOMWARE,SIEM,0.62,CLOSED,Ransomware-like file and process activity detected
E002-A0093,E002,E002-AS003,2026-08-19 06:28:07,MEDIUM,SUSPICIOUS_LOGIN,IAM,0.61,CLOSED,Suspicious login pattern detected
E002-A0094,E002,E002-AS005,2026-08-20 18:45:00,HIGH,MALWARE,SIEM,0.83,CLOSED,Unexpected privilege escalation activity observed
E002-A0095,E002,E002-AS019,2026-08-19 06:42:39,MEDIUM,BRUTE_FORCE,IAM,0.64,CLOSED,Repeated authentication failures exceeded baseline
E002-A0096,E002,E002-AS024,2026-08-19 07:02:51,MEDIUM,PHISHING,EMAIL_SECURITY,0.61,CLOSED,Suspicious phishing-related activity identified
E002-A0097,E002,E002-AS026,2026-08-19 07:20:39,MEDIUM,BRUTE_FORCE,SIEM,0.75,CLOSED,Repeated authentication failures exceeded baseline
E002-A0098,E002,E002-AS007,2026-08-19 07:32:51,LOW,PHISHING,EMAIL_SECURITY,0.54,CLOSED,Suspicious phishing-related activity identified
E002-A0099,E002,E002-AS007,2026-08-19 07:44:10,HIGH,PHISHING,EMAIL_SECURITY,0.75,CLOSED,Suspicious phishing-related activity identified
E002-A0100,E002,E002-AS029,2026-08-19 07:48:59,LOW,SUSPICIOUS_LOGIN,SIEM,0.56,CLOSED,Suspicious login pattern detected
E002-A0101,E002,E002-AS022,2026-08-19 07:51:34,HIGH,PHISHING,EMAIL_SECURITY,0.80,CLOSED,Suspicious phishing-related activity identified
E002-A0102,E002,E002-AS009,2026-08-19 07:51:45,MEDIUM,SUSPICIOUS_LOGIN,IAM,0.73,CLOSED,Suspicious login pattern detected
E002-A0103,E002,E002-AS012,2026-08-19 08:09:04,HIGH,RANSOMWARE,SIEM,0.80,CLOSED,Ransomware-like file and process activity detected
E002-A0104,E002,E002-AS019,2026-08-19 08:17:56,HIGH,MALWARE,SIEM,0.90,CLOSED,Malware indicators detected on monitored asset
E002-A0105,E002,E002-AS030,2026-08-19 08:43:46,MEDIUM,PRIVILEGE_ESCALATION,SIEM,0.61,CLOSED,Unexpected privilege escalation activity observed
E002-A0106,E002,E002-AS006,2026-08-19 08:56:31,MEDIUM,PHISHING,EMAIL_SECURITY,0.56,CLOSED,Suspicious phishing-related activity identified
E002-A0107,E002,E002-AS007,2026-08-19 09:27:35,HIGH,MALWARE,SIEM,0.88,CLOSED,Malware indicators detected on monitored asset
E002-A0108,E002,E002-AS027,2026-08-19 09:33:07,HIGH,MALWARE,SIEM,0.86,CLOSED,Malware indicators detected on monitored asset
E002-A0109,E002,E002-AS018,2026-08-19 09:44:46,HIGH,PRIVILEGE_ESCALATION,SIEM,0.68,CLOSED,Unexpected privilege escalation activity observed
E002-A0110,E002,E002-AS007,2026-08-19 09:53:16,LOW,MALWARE,SIEM,0.48,CLOSED,Malware indicators detected on monitored asset
E002-A0111,E002,E002-AS032,2026-08-19 09:53:55,MEDIUM,BRUTE_FORCE,IAM,0.55,CLOSED,Repeated authentication failures exceeded baseline
E002-A0112,E002,E002-AS029,2026-08-19 10:08:29,CRITICAL,DATA_EXFILTRATION,SIEM,0.82,CLOSED,Potential outbound data exfiltration activity detected
E002-A0113,E002,E002-AS026,2026-08-19 10:27:54,HIGH,PRIVILEGE_ESCALATION,IAM,0.84,CLOSED,Unexpected privilege escalation activity observed
E002-A0114,E002,E002-AS018,2026-08-19 10:36:24,LOW,RANSOMWARE,EDR,0.60,CLOSED,Ransomware-like file and process activity detected
E002-A0115,E002,E002-AS003,2026-08-19 10:47:20,LOW,PHISHING,EMAIL_SECURITY,0.46,CLOSED,Suspicious phishing-related activity identified
E002-A0116,E002,E002-AS009,2026-08-19 10:50:55,LOW,BRUTE_FORCE,SIEM,0.45,CLOSED,Repeated authentication failures exceeded baseline
E002-A0117,E002,E002-AS003,2026-08-19 11:34:59,MEDIUM,PHISHING,EMAIL_SECURITY,0.55,CLOSED,Suspicious phishing-related activity identified
E002-A0118,E002,E002-AS032,2026-08-19 11:46:27,MEDIUM,PHISHING,EMAIL_SECURITY,0.70,CLOSED,Suspicious phishing-related activity identified
E002-A0119,E002,E002-AS023,2026-08-19 11:57:38,CRITICAL,NETWORK_ANOMALY,FIREWALL,0.98,CLOSED,Abnormal network traffic pattern detected
E002-A0120,E002,E002-AS028,2026-08-19 11:57:41,CRITICAL,PHISHING,EMAIL_SECURITY,0.91,CLOSED,Suspicious phishing-related activity identified
E002-A0121,E002,E002-AS007,2026-08-19 12:37:25,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.58,CLOSED,Abnormal network traffic pattern detected
E002-A0122,E002,E002-AS008,2026-08-19 13:00:44,MEDIUM,BRUTE_FORCE,IAM,0.67,CLOSED,Repeated authentication failures exceeded baseline
E002-A0123,E002,E002-AS008,2026-08-19 13:15:42,CRITICAL,MALWARE,EDR,0.85,CLOSED,Malware indicators detected on monitored asset
E002-A0124,E002,E002-AS007,2026-08-19 13:56:58,HIGH,BRUTE_FORCE,IAM,0.82,CLOSED,Repeated authentication failures exceeded baseline
E002-A0125,E002,E002-AS010,2026-08-19 14:45:40,MEDIUM,NETWORK_ANOMALY,FIREWALL,0.55,CLOSED,Abnormal network traffic pattern detected
E002-A0126,E002,E002-AS028,2026-08-19 14:46:14,HIGH,MALWARE,SIEM,0.94,CLOSED,Malware indicators detected on monitored asset
E002-A0127,E002,E002-AS021,2026-08-19 15:10:29,MEDIUM,PHISHING,EMAIL_SECURITY,0.80,CLOSED,Suspicious phishing-related activity identified
E002-A0128,E002,E002-AS010,2026-08-19 15:11:25,HIGH,MALWARE,SIEM,0.71,CLOSED,Malware indicators detected on monitored asset
E002-A0129,E002,E002-AS012,2026-08-19 15:17:55,HIGH,SUSPICIOUS_LOGIN,SIEM,0.76,CLOSED,Suspicious login pattern detected
E002-A0130,E002,E002-AS006,2026-08-19 15:21:32,CRITICAL,MALWARE,SIEM,0.98,CLOSED,Malware indicators detected on monitored asset
E002-A0131,E002,E002-AS027,2026-08-19 15:31:36,MEDIUM,NETWORK_ANOMALY,IDS,0.78,CLOSED,Abnormal network traffic pattern detected
E002-A0132,E002,E002-AS001,2026-08-19 15:44:48,CRITICAL,BRUTE_FORCE,SIEM,0.83,CLOSED,Repeated authentication failures exceeded baseline
E002-A0133,E002,E002-AS028,2026-08-19 15:47:50,HIGH,SUSPICIOUS_LOGIN,SIEM,0.81,CLOSED,Suspicious login pattern detected
E002-A0134,E002,E002-AS010,2026-08-19 15:52:11,HIGH,BRUTE_FORCE,IAM,0.85,CLOSED,Repeated authentication failures exceeded baseline
E002-A0135,E002,E002-AS027,2026-08-19 15:52:51,MEDIUM,PHISHING,EMAIL_SECURITY,0.54,CLOSED,Suspicious phishing-related activity identified
E002-A0136,E002,E002-AS023,2026-08-19 15:59:00,MEDIUM,PHISHING,EMAIL_SECURITY,0.59,CLOSED,Suspicious phishing-related activity identified
E002-A0137,E002,E002-AS007,2026-08-19 16:08:27,HIGH,SUSPICIOUS_LOGIN,SIEM,0.85,CLOSED,Suspicious login pattern detected
E002-A0138,E002,E002-AS007,2026-08-19 16:26:15,CRITICAL,NETWORK_ANOMALY,IDS,0.83,CLOSED,Abnormal network traffic pattern detected
E002-A0139,E002,E002-AS028,2026-08-19 16:34:31,HIGH,BRUTE_FORCE,SIEM,0.72,CLOSED,Repeated authentication failures exceeded baseline
E002-A0140,E002,E002-AS010,2026-08-19 17:23:40,MEDIUM,PHISHING,EMAIL_SECURITY,0.75,CLOSED,Suspicious phishing-related activity identified
E002-A0141,E002,E002-AS005,2026-08-19 17:46:26,HIGH,BRUTE_FORCE,SIEM,0.76,CLOSED,Repeated authentication failures exceeded baseline
E002-A0142,E002,E002-AS030,2026-08-19 18:48:47,MEDIUM,RANSOMWARE,EDR,0.62,CLOSED,Ransomware-like file and process activity detected
E002-A0143,E002,E002-AS025,2026-08-19 19:16:20,CRITICAL,NETWORK_ANOMALY,SIEM,0.82,CLOSED,Abnormal network traffic pattern detected
E002-A0144,E002,E002-AS027,2026-08-19 19:26:30,LOW,SUSPICIOUS_LOGIN,IAM,0.40,CLOSED,Suspicious login pattern detected
E002-A0145,E002,E002-AS024,2026-08-19 19:59:35,MEDIUM,MALWARE,SIEM,0.81,CLOSED,Malware indicators detected on monitored asset
E002-A0146,E002,E002-AS028,2026-08-19 20:15:38,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.59,CLOSED,Suspicious login pattern detected
E002-A0147,E002,E002-AS029,2026-08-19 20:31:06,MEDIUM,MALWARE,EDR,0.76,CLOSED,Malware indicators detected on monitored asset
E002-A0148,E002,E002-AS005,2026-08-19 20:35:03,MEDIUM,RANSOMWARE,EDR,0.78,CLOSED,Ransomware-like file and process activity detected
E002-A0149,E002,E002-AS011,2026-08-19 20:47:09,HIGH,NETWORK_ANOMALY,SIEM,0.79,CLOSED,Abnormal network traffic pattern detected
E002-A0150,E002,E002-AS001,2026-08-19 20:55:07,MEDIUM,SUSPICIOUS_LOGIN,IAM,0.59,CLOSED,Suspicious login pattern detected
E002-A0151,E002,E002-AS010,2026-08-19 21:05:20,LOW,SUSPICIOUS_LOGIN,SIEM,0.66,CLOSED,Suspicious login pattern detected
E002-A0152,E002,E002-AS005,2026-08-19 21:59:14,HIGH,BRUTE_FORCE,IAM,0.79,CLOSED,Repeated authentication failures exceeded baseline
E002-A0153,E002,E002-AS030,2026-08-19 22:26:21,LOW,SUSPICIOUS_LOGIN,SIEM,0.45,CLOSED,Suspicious login pattern detected
E002-A0154,E002,E002-AS017,2026-08-19 22:35:13,MEDIUM,MALWARE,EDR,0.63,CLOSED,Malware indicators detected on monitored asset
E002-A0155,E002,E002-AS002,2026-08-19 22:38:30,CRITICAL,RANSOMWARE,SIEM,0.85,CLOSED,Ransomware-like file and process activity detected
E002-A0156,E002,E002-AS027,2026-08-19 23:24:38,MEDIUM,NETWORK_ANOMALY,IDS,0.78,CLOSED,Abnormal network traffic pattern detected
E002-A0157,E002,E002-AS027,2026-08-20 00:12:31,MEDIUM,DATA_EXFILTRATION,EDR,0.77,CLOSED,Potential outbound data exfiltration activity detected
E002-A0158,E002,E002-AS027,2026-08-20 18:00:00,HIGH,SUSPICIOUS_LOGIN,SIEM,0.91,CLOSED,Malware indicators detected on monitored asset
E002-A0159,E002,E002-AS018,2026-08-20 00:30:30,HIGH,SUSPICIOUS_LOGIN,SIEM,0.77,CLOSED,Suspicious login pattern detected
E002-A0160,E002,E002-AS026,2026-08-20 01:00:39,HIGH,SUSPICIOUS_LOGIN,IAM,0.91,CLOSED,Suspicious login pattern detected
E002-A0161,E002,E002-AS003,2026-08-20 01:51:25,CRITICAL,PHISHING,EMAIL_SECURITY,0.87,CLOSED,Suspicious phishing-related activity identified
E002-A0162,E002,E002-AS014,2026-08-20 01:55:06,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.71,CLOSED,Suspicious login pattern detected
E002-A0163,E002,E002-AS022,2026-08-20 01:56:41,LOW,PHISHING,EMAIL_SECURITY,0.57,CLOSED,Suspicious phishing-related activity identified
E002-A0164,E002,E002-AS012,2026-08-20 02:19:09,HIGH,RANSOMWARE,EDR,0.81,CLOSED,Ransomware-like file and process activity detected
E002-A0165,E002,E002-AS024,2026-08-20 04:19:45,HIGH,SUSPICIOUS_LOGIN,SIEM,0.74,CLOSED,Suspicious login pattern detected
E002-A0166,E002,E002-AS028,2026-08-20 04:40:35,MEDIUM,MALWARE,EDR,0.65,CLOSED,Malware indicators detected on monitored asset
E002-A0167,E002,E002-AS025,2026-08-20 05:20:27,CRITICAL,SUSPICIOUS_LOGIN,IAM,0.95,CLOSED,Suspicious login pattern detected
E002-A0168,E002,E002-AS008,2026-08-20 05:33:35,MEDIUM,NETWORK_ANOMALY,SIEM,0.66,CLOSED,Abnormal network traffic pattern detected
E002-A0169,E002,E002-AS027,2026-08-20 05:47:06,CRITICAL,DATA_EXFILTRATION,EDR,0.85,CLOSED,Potential outbound data exfiltration activity detected
E002-A0170,E002,E002-AS006,2026-08-20 06:08:55,HIGH,RANSOMWARE,EDR,0.83,CLOSED,Ransomware-like file and process activity detected
E002-A0171,E002,E002-AS004,2026-08-20 06:23:28,MEDIUM,RANSOMWARE,SIEM,0.56,CLOSED,Ransomware-like file and process activity detected
E002-A0172,E002,E002-AS016,2026-08-20 06:32:27,MEDIUM,MALWARE,EDR,0.82,CLOSED,Malware indicators detected on monitored asset
E002-A0173,E002,E002-AS028,2026-08-20 08:06:28,LOW,NETWORK_ANOMALY,IDS,0.57,CLOSED,Abnormal network traffic pattern detected
E002-A0174,E002,E002-AS002,2026-08-20 08:54:47,MEDIUM,NETWORK_ANOMALY,IDS,0.64,CLOSED,Abnormal network traffic pattern detected
E002-A0175,E002,E002-AS013,2026-08-20 17:00:00,HIGH,SUSPICIOUS_LOGIN,IAM,0.92,CLOSED,Repeated suspicious privileged login pattern detected
E002-A0176,E002,E002-AS014,2026-08-20 09:43:37,HIGH,DATA_EXFILTRATION,SIEM,0.75,CLOSED,Potential outbound data exfiltration activity detected
E002-A0177,E002,E002-AS021,2026-08-20 10:32:24,HIGH,SUSPICIOUS_LOGIN,IAM,0.91,CLOSED,Suspicious login pattern detected
E002-A0178,E002,E002-AS003,2026-08-20 10:36:25,MEDIUM,PHISHING,EMAIL_SECURITY,0.74,CLOSED,Suspicious phishing-related activity identified
E002-A0179,E002,E002-AS015,2026-08-20 10:41:04,MEDIUM,RANSOMWARE,SIEM,0.58,CLOSED,Ransomware-like file and process activity detected
